start_region_hash,slots,0
0a5fef95db34383403d11cb6af937309,18,1
0a5fef95db34383403d11cb6af937309,19,2
0a5fef95db34383403d11cb6af937309,20,13
0a5fef95db34383403d11cb6af937309,21,4
0a5fef95db34383403d11cb6af937309,22,2
1afd7afbc81ecc1b13886a569d869e8a,0,201
1afd7afbc81ecc1b13886a569d869e8a,1,107
1afd7afbc81ecc1b13886a569d869e8a,2,69
1afd7afbc81ecc1b13886a569d869e8a,3,51
1afd7afbc81ecc1b13886a569d869e8a,4,24
1afd7afbc81ecc1b13886a569d869e8a,5,28
1afd7afbc81ecc1b13886a569d869e8a,6,73
1afd7afbc81ecc1b13886a569d869e8a,7,216
1afd7afbc81ecc1b13886a569d869e8a,8,482
1afd7afbc81ecc1b13886a569d869e8a,9,678
1afd7afbc81ecc1b13886a569d869e8a,10,832
1afd7afbc81ecc1b13886a569d869e8a,11,917
1afd7afbc81ecc1b13886a569d869e8a,12,793
1afd7afbc81ecc1b13886a569d869e8a,13,921
1afd7afbc81ecc1b13886a569d869e8a,14,754
1afd7afbc81ecc1b13886a569d869e8a,15,461
1afd7afbc81ecc1b13886a569d869e8a,16,485
1afd7afbc81ecc1b13886a569d869e8a,17,588
1afd7afbc81ecc1b13886a569d869e8a,18,667
1afd7afbc81ecc1b13886a569d869e8a,19,512
1afd7afbc81ecc1b13886a569d869e8a,20,526
1afd7afbc81ecc1b13886a569d869e8a,21,487
1afd7afbc81ecc1b13886a569d869e8a,22,477
1afd7afbc81ecc1b13886a569d869e8a,23,288
1c60154546102e6525f68cb4f31e0657,0,3
1c60154546102e6525f68cb4f31e0657,1,3
1c60154546102e6525f68cb4f31e0657,3,1
1c60154546102e6525f68cb4f31e0657,6,2
1c60154546102e6525f68cb4f31e0657,7,5
1c60154546102e6525f68cb4f31e0657,8,16
1c60154546102e6525f68cb4f31e0657,9,23
1c60154546102e6525f68cb4f31e0657,10,23
1c60154546102e6525f68cb4f31e0657,11,35
1c60154546102e6525f68cb4f31e0657,12,24
1c60154546102e6525f68cb4f31e0657,13,30
1c60154546102e6525f68cb4f31e0657,14,37
1c60154546102e6525f68cb4f31e0657,15,37
1c60154546102e6525f68cb4f31e0657,16,80
1c60154546102e6525f68cb4f31e0657,17,87
1c60154546102e6525f68cb4f31e0657,18,42
1c60154546102e6525f68cb4f31e0657,19,40
1c60154546102e6525f68cb4f31e0657,20,40
1c60154546102e6525f68cb4f31e0657,21,21
1c60154546102e6525f68cb4f31e0657,22,17
1c60154546102e6525f68cb4f31e0657,23,11
1cbfbdd079ef93e74405c53fcfff8567,0,29
1cbfbdd079ef93e74405c53fcfff8567,1,14
1cbfbdd079ef93e74405c53fcfff8567,2,14
1cbfbdd079ef93e74405c53fcfff8567,3,8
1cbfbdd079ef93e74405c53fcfff8567,4,4
1cbfbdd079ef93e74405c53fcfff8567,5,1
1cbfbdd079ef93e74405c53fcfff8567,6,10
1cbfbdd079ef93e74405c53fcfff8567,7,29
1cbfbdd079ef93e74405c53fcfff8567,8,89
1cbfbdd079ef93e74405c53fcfff8567,9,83
1cbfbdd079ef93e74405c53fcfff8567,10,131
1cbfbdd079ef93e74405c53fcfff8567,11,125
1cbfbdd079ef93e74405c53fcfff8567,12,165
1cbfbdd079ef93e74405c53fcfff8567,13,123
1cbfbdd079ef93e74405c53fcfff8567,14,107
1cbfbdd079ef93e74405c53fcfff8567,15,93
1cbfbdd079ef93e74405c53fcfff8567,16,77
1cbfbdd079ef93e74405c53fcfff8567,17,116
1cbfbdd079ef93e74405c53fcfff8567,18,129
1cbfbdd079ef93e74405c53fcfff8567,19,70
1cbfbdd079ef93e74405c53fcfff8567,20,77
1cbfbdd079ef93e74405c53fcfff8567,21,60
1cbfbdd079ef93e74405c53fcfff8567,22,78
1cbfbdd079ef93e74405c53fcfff8567,23,32
1ecbb52d73c522f184a6fc53128b1ea1,0,35
1ecbb52d73c522f184a6fc53128b1ea1,1,19
1ecbb52d73c522f184a6fc53128b1ea1,2,20
1ecbb52d73c522f184a6fc53128b1ea1,3,5
1ecbb52d73c522f184a6fc53128b1ea1,4,3
1ecbb52d73c522f184a6fc53128b1ea1,5,4
1ecbb52d73c522f184a6fc53128b1ea1,6,3
1ecbb52d73c522f184a6fc53128b1ea1,7,21
1ecbb52d73c522f184a6fc53128b1ea1,8,78
1ecbb52d73c522f184a6fc53128b1ea1,9,79
1ecbb52d73c522f184a6fc53128b1ea1,10,90
1ecbb52d73c522f184a6fc53128b1ea1,11,88
1ecbb52d73c522f184a6fc53128b1ea1,12,83
1ecbb52d73c522f184a6fc53128b1ea1,13,90
1ecbb52d73c522f184a6fc53128b1ea1,14,85
1ecbb52d73c522f184a6fc53128b1ea1,15,96
1ecbb52d73c522f184a6fc53128b1ea1,16,137
1ecbb52d73c522f184a6fc53128b1ea1,17,175
1ecbb52d73c522f184a6fc53128b1ea1,18,118
1ecbb52d73c522f184a6fc53128b1ea1,19,107
1ecbb52d73c522f184a6fc53128b1ea1,20,111
1ecbb52d73c522f184a6fc53128b1ea1,21,96
1ecbb52d73c522f184a6fc53128b1ea1,22,62
1ecbb52d73c522f184a6fc53128b1ea1,23,50
2301bc920194c95cf0c7486e5675243c,0,15
2301bc920194c95cf0c7486e5675243c,1,27
2301bc920194c95cf0c7486e5675243c,2,10
2301bc920194c95cf0c7486e5675243c,3,3
2301bc920194c95cf0c7486e5675243c,4,2
2301bc920194c95cf0c7486e5675243c,5,5
2301bc920194c95cf0c7486e5675243c,6,8
2301bc920194c95cf0c7486e5675243c,7,36
2301bc920194c95cf0c7486e5675243c,8,73
2301bc920194c95cf0c7486e5675243c,9,89
2301bc920194c95cf0c7486e5675243c,10,78
2301bc920194c95cf0c7486e5675243c,11,79
2301bc920194c95cf0c7486e5675243c,12,86
2301bc920194c95cf0c7486e5675243c,13,70
2301bc920194c95cf0c7486e5675243c,14,74
2301bc920194c95cf0c7486e5675243c,15,59
2301bc920194c95cf0c7486e5675243c,16,66
2301bc920194c95cf0c7486e5675243c,17,62
2301bc920194c95cf0c7486e5675243c,18,90
2301bc920194c95cf0c7486e5675243c,19,78
2301bc920194c95cf0c7486e5675243c,20,50
2301bc920194c95cf0c7486e5675243c,21,51
2301bc920194c95cf0c7486e5675243c,22,38
2301bc920194c95cf0c7486e5675243c,23,40
2350be163432e42270d2670cb3c02f80,0,22
2350be163432e42270d2670cb3c02f80,1,15
2350be163432e42270d2670cb3c02f80,2,6
2350be163432e42270d2670cb3c02f80,3,5
2350be163432e42270d2670cb3c02f80,4,1
2350be163432e42270d2670cb3c02f80,6,3
2350be163432e42270d2670cb3c02f80,7,17
2350be163432e42270d2670cb3c02f80,8,45
2350be163432e42270d2670cb3c02f80,9,73
2350be163432e42270d2670cb3c02f80,10,77
2350be163432e42270d2670cb3c02f80,11,64
2350be163432e42270d2670cb3c02f80,12,57
2350be163432e42270d2670cb3c02f80,13,74
2350be163432e42270d2670cb3c02f80,14,50
2350be163432e42270d2670cb3c02f80,15,56
2350be163432e42270d2670cb3c02f80,16,38
2350be163432e42270d2670cb3c02f80,17,51
2350be163432e42270d2670cb3c02f80,18,65
2350be163432e42270d2670cb3c02f80,19,35
2350be163432e42270d2670cb3c02f80,20,45
2350be163432e42270d2670cb3c02f80,21,31
2350be163432e42270d2670cb3c02f80,22,32
2350be163432e42270d2670cb3c02f80,23,25
2407d482f0ffa22a947068f2551fe62c,0,336
2407d482f0ffa22a947068f2551fe62c,1,231
2407d482f0ffa22a947068f2551fe62c,2,167
2407d482f0ffa22a947068f2551fe62c,3,77
2407d482f0ffa22a947068f2551fe62c,4,37
2407d482f0ffa22a947068f2551fe62c,5,34
2407d482f0ffa22a947068f2551fe62c,6,55
2407d482f0ffa22a947068f2551fe62c,7,202
2407d482f0ffa22a947068f2551fe62c,8,548
2407d482f0ffa22a947068f2551fe62c,9,733
2407d482f0ffa22a947068f2551fe62c,10,775
2407d482f0ffa22a947068f2551fe62c,11,814
2407d482f0ffa22a947068f2551fe62c,12,795
2407d482f0ffa22a947068f2551fe62c,13,899
2407d482f0ffa22a947068f2551fe62c,14,909
2407d482f0ffa22a947068f2551fe62c,15,890
2407d482f0ffa22a947068f2551fe62c,16,879
2407d482f0ffa22a947068f2551fe62c,17,1008
2407d482f0ffa22a947068f2551fe62c,18,1158
2407d482f0ffa22a947068f2551fe62c,19,1013
2407d482f0ffa22a947068f2551fe62c,20,1050
2407d482f0ffa22a947068f2551fe62c,21,1115
2407d482f0ffa22a947068f2551fe62c,22,956
2407d482f0ffa22a947068f2551fe62c,23,618
2920ece99323b4c111d6f9affc7ea034,0,154
2920ece99323b4c111d6f9affc7ea034,1,85
2920ece99323b4c111d6f9affc7ea034,2,84
2920ece99323b4c111d6f9affc7ea034,3,35
2920ece99323b4c111d6f9affc7ea034,4,23
2920ece99323b4c111d6f9affc7ea034,5,19
2920ece99323b4c111d6f9affc7ea034,6,47
2920ece99323b4c111d6f9affc7ea034,7,161
2920ece99323b4c111d6f9affc7ea034,8,333
2920ece99323b4c111d6f9affc7ea034,9,476
2920ece99323b4c111d6f9affc7ea034,10,567
2920ece99323b4c111d6f9affc7ea034,11,545
2920ece99323b4c111d6f9affc7ea034,12,547
2920ece99323b4c111d6f9affc7ea034,13,652
2920ece99323b4c111d6f9affc7ea034,14,719
2920ece99323b4c111d6f9affc7ea034,15,616
2920ece99323b4c111d6f9affc7ea034,16,685
2920ece99323b4c111d6f9affc7ea034,17,1182
2920ece99323b4c111d6f9affc7ea034,18,826
2920ece99323b4c111d6f9affc7ea034,19,452
2920ece99323b4c111d6f9affc7ea034,20,514
2920ece99323b4c111d6f9affc7ea034,21,373
2920ece99323b4c111d6f9affc7ea034,22,265
2920ece99323b4c111d6f9affc7ea034,23,214
307afa4120c590b3a46cf4ff5415608a,0,24
307afa4120c590b3a46cf4ff5415608a,1,8
307afa4120c590b3a46cf4ff5415608a,2,3
307afa4120c590b3a46cf4ff5415608a,3,1
307afa4120c590b3a46cf4ff5415608a,4,1
307afa4120c590b3a46cf4ff5415608a,5,1
307afa4120c590b3a46cf4ff5415608a,7,10
307afa4120c590b3a46cf4ff5415608a,8,34
307afa4120c590b3a46cf4ff5415608a,9,39
307afa4120c590b3a46cf4ff5415608a,10,55
307afa4120c590b3a46cf4ff5415608a,11,66
307afa4120c590b3a46cf4ff5415608a,12,55
307afa4120c590b3a46cf4ff5415608a,13,65
307afa4120c590b3a46cf4ff5415608a,14,47
307afa4120c590b3a46cf4ff5415608a,15,51
307afa4120c590b3a46cf4ff5415608a,16,67
307afa4120c590b3a46cf4ff5415608a,17,64
307afa4120c590b3a46cf4ff5415608a,18,57
307afa4120c590b3a46cf4ff5415608a,19,45
307afa4120c590b3a46cf4ff5415608a,20,55
307afa4120c590b3a46cf4ff5415608a,21,38
307afa4120c590b3a46cf4ff5415608a,22,40
307afa4120c590b3a46cf4ff5415608a,23,28
364bf755f9b270f0f9141d1a61de43ee,0,139
364bf755f9b270f0f9141d1a61de43ee,1,83
364bf755f9b270f0f9141d1a61de43ee,2,22
364bf755f9b270f0f9141d1a61de43ee,3,14
364bf755f9b270f0f9141d1a61de43ee,4,27
364bf755f9b270f0f9141d1a61de43ee,5,11
364bf755f9b270f0f9141d1a61de43ee,6,33
364bf755f9b270f0f9141d1a61de43ee,7,94
364bf755f9b270f0f9141d1a61de43ee,8,324
364bf755f9b270f0f9141d1a61de43ee,9,346
364bf755f9b270f0f9141d1a61de43ee,10,317
364bf755f9b270f0f9141d1a61de43ee,11,341
364bf755f9b270f0f9141d1a61de43ee,12,354
364bf755f9b270f0f9141d1a61de43ee,13,380
364bf755f9b270f0f9141d1a61de43ee,14,382
364bf755f9b270f0f9141d1a61de43ee,15,388
364bf755f9b270f0f9141d1a61de43ee,16,481
364bf755f9b270f0f9141d1a61de43ee,17,488
364bf755f9b270f0f9141d1a61de43ee,18,586
364bf755f9b270f0f9141d1a61de43ee,19,412
364bf755f9b270f0f9141d1a61de43ee,20,383
364bf755f9b270f0f9141d1a61de43ee,21,388
364bf755f9b270f0f9141d1a61de43ee,22,383
364bf755f9b270f0f9141d1a61de43ee,23,199
38d5ad2d22b61109fd8e7b43cd0e8901,0,215
38d5ad2d22b61109fd8e7b43cd0e8901,1,133
38d5ad2d22b61109fd8e7b43cd0e8901,2,78
38d5ad2d22b61109fd8e7b43cd0e8901,3,52
38d5ad2d22b61109fd8e7b43cd0e8901,4,31
38d5ad2d22b61109fd8e7b43cd0e8901,5,25
38d5ad2d22b61109fd8e7b43cd0e8901,6,62
38d5ad2d22b61109fd8e7b43cd0e8901,7,125
38d5ad2d22b61109fd8e7b43cd0e8901,8,404
38d5ad2d22b61109fd8e7b43cd0e8901,9,451
38d5ad2d22b61109fd8e7b43cd0e8901,10,621
38d5ad2d22b61109fd8e7b43cd0e8901,11,677
38d5ad2d22b61109fd8e7b43cd0e8901,12,773
38d5ad2d22b61109fd8e7b43cd0e8901,13,933
38d5ad2d22b61109fd8e7b43cd0e8901,14,1053
38d5ad2d22b61109fd8e7b43cd0e8901,15,502
38d5ad2d22b61109fd8e7b43cd0e8901,16,461
38d5ad2d22b61109fd8e7b43cd0e8901,17,528
38d5ad2d22b61109fd8e7b43cd0e8901,18,515
38d5ad2d22b61109fd8e7b43cd0e8901,19,536
38d5ad2d22b61109fd8e7b43cd0e8901,20,469
38d5ad2d22b61109fd8e7b43cd0e8901,21,462
38d5ad2d22b61109fd8e7b43cd0e8901,22,403
38d5ad2d22b61109fd8e7b43cd0e8901,23,259
3a43dcdff3c0b66b1acb1644ff055f9d,0,94
3a43dcdff3c0b66b1acb1644ff055f9d,1,59
3a43dcdff3c0b66b1acb1644ff055f9d,2,35
3a43dcdff3c0b66b1acb1644ff055f9d,3,12
3a43dcdff3c0b66b1acb1644ff055f9d,4,10
3a43dcdff3c0b66b1acb1644ff055f9d,5,11
3a43dcdff3c0b66b1acb1644ff055f9d,6,21
3a43dcdff3c0b66b1acb1644ff055f9d,7,55
3a43dcdff3c0b66b1acb1644ff055f9d,8,146
3a43dcdff3c0b66b1acb1644ff055f9d,9,178
3a43dcdff3c0b66b1acb1644ff055f9d,10,169
3a43dcdff3c0b66b1acb1644ff055f9d,11,182
3a43dcdff3c0b66b1acb1644ff055f9d,12,175
3a43dcdff3c0b66b1acb1644ff055f9d,13,224
3a43dcdff3c0b66b1acb1644ff055f9d,14,192
3a43dcdff3c0b66b1acb1644ff055f9d,15,190
3a43dcdff3c0b66b1acb1644ff055f9d,16,220
3a43dcdff3c0b66b1acb1644ff055f9d,17,250
3a43dcdff3c0b66b1acb1644ff055f9d,18,204
3a43dcdff3c0b66b1acb1644ff055f9d,19,204
3a43dcdff3c0b66b1acb1644ff055f9d,20,187
3a43dcdff3c0b66b1acb1644ff055f9d,21,174
3a43dcdff3c0b66b1acb1644ff055f9d,22,125
3a43dcdff3c0b66b1acb1644ff055f9d,23,128
3e12208dd0be281c92a6ab57d9a6fb32,0,22
3e12208dd0be281c92a6ab57d9a6fb32,1,18
3e12208dd0be281c92a6ab57d9a6fb32,2,7
3e12208dd0be281c92a6ab57d9a6fb32,3,13
3e12208dd0be281c92a6ab57d9a6fb32,4,3
3e12208dd0be281c92a6ab57d9a6fb32,5,5
3e12208dd0be281c92a6ab57d9a6fb32,6,8
3e12208dd0be281c92a6ab57d9a6fb32,7,27
3e12208dd0be281c92a6ab57d9a6fb32,8,55
3e12208dd0be281c92a6ab57d9a6fb32,9,48
3e12208dd0be281c92a6ab57d9a6fb32,10,62
3e12208dd0be281c92a6ab57d9a6fb32,11,55
3e12208dd0be281c92a6ab57d9a6fb32,12,58
3e12208dd0be281c92a6ab57d9a6fb32,13,116
3e12208dd0be281c92a6ab57d9a6fb32,14,94
3e12208dd0be281c92a6ab57d9a6fb32,15,60
3e12208dd0be281c92a6ab57d9a6fb32,16,55
3e12208dd0be281c92a6ab57d9a6fb32,17,63
3e12208dd0be281c92a6ab57d9a6fb32,18,65
3e12208dd0be281c92a6ab57d9a6fb32,19,57
3e12208dd0be281c92a6ab57d9a6fb32,20,63
3e12208dd0be281c92a6ab57d9a6fb32,21,41
3e12208dd0be281c92a6ab57d9a6fb32,22,37
3e12208dd0be281c92a6ab57d9a6fb32,23,33
445ff793ebd3477d4a2e0b36b2db9271,0,31
445ff793ebd3477d4a2e0b36b2db9271,1,14
445ff793ebd3477d4a2e0b36b2db9271,2,4
445ff793ebd3477d4a2e0b36b2db9271,3,1
445ff793ebd3477d4a2e0b36b2db9271,4,3
445ff793ebd3477d4a2e0b36b2db9271,5,5
445ff793ebd3477d4a2e0b36b2db9271,7,1
445ff793ebd3477d4a2e0b36b2db9271,8,5
445ff793ebd3477d4a2e0b36b2db9271,9,7
445ff793ebd3477d4a2e0b36b2db9271,10,14
445ff793ebd3477d4a2e0b36b2db9271,11,10
445ff793ebd3477d4a2e0b36b2db9271,12,14
445ff793ebd3477d4a2e0b36b2db9271,13,13
445ff793ebd3477d4a2e0b36b2db9271,14,8
445ff793ebd3477d4a2e0b36b2db9271,15,8
445ff793ebd3477d4a2e0b36b2db9271,16,8
445ff793ebd3477d4a2e0b36b2db9271,17,27
445ff793ebd3477d4a2e0b36b2db9271,18,9
445ff793ebd3477d4a2e0b36b2db9271,19,19
445ff793ebd3477d4a2e0b36b2db9271,20,14
445ff793ebd3477d4a2e0b36b2db9271,21,25
445ff793ebd3477d4a2e0b36b2db9271,22,19
445ff793ebd3477d4a2e0b36b2db9271,23,14
44c097b7bd219d104050abbafe51bd49,0,13
44c097b7bd219d104050abbafe51bd49,1,9
44c097b7bd219d104050abbafe51bd49,2,5
44c097b7bd219d104050abbafe51bd49,3,1
44c097b7bd219d104050abbafe51bd49,5,2
44c097b7bd219d104050abbafe51bd49,6,1
44c097b7bd219d104050abbafe51bd49,7,9
44c097b7bd219d104050abbafe51bd49,8,59
44c097b7bd219d104050abbafe51bd49,9,73
44c097b7bd219d104050abbafe51bd49,10,56
44c097b7bd219d104050abbafe51bd49,11,76
44c097b7bd219d104050abbafe51bd49,12,71
44c097b7bd219d104050abbafe51bd49,13,94
44c097b7bd219d104050abbafe51bd49,14,104
44c097b7bd219d104050abbafe51bd49,15,69
44c097b7bd219d104050abbafe51bd49,16,63
44c097b7bd219d104050abbafe51bd49,17,69
44c097b7bd219d104050abbafe51bd49,18,93
44c097b7bd219d104050abbafe51bd49,19,57
44c097b7bd219d104050abbafe51bd49,20,44
44c097b7bd219d104050abbafe51bd49,21,35
44c097b7bd219d104050abbafe51bd49,22,33
44c097b7bd219d104050abbafe51bd49,23,30
4725c39a5e5f4c188d382da3910b3f3f,0,809
4725c39a5e5f4c188d382da3910b3f3f,1,599
4725c39a5e5f4c188d382da3910b3f3f,2,446
4725c39a5e5f4c188d382da3910b3f3f,3,339
4725c39a5e5f4c188d382da3910b3f3f,4,211
4725c39a5e5f4c188d382da3910b3f3f,5,164
4725c39a5e5f4c188d382da3910b3f3f,6,250
4725c39a5e5f4c188d382da3910b3f3f,7,393
4725c39a5e5f4c188d382da3910b3f3f,8,826
4725c39a5e5f4c188d382da3910b3f3f,9,1097
4725c39a5e5f4c188d382da3910b3f3f,10,1318
4725c39a5e5f4c188d382da3910b3f3f,11,1314
4725c39a5e5f4c188d382da3910b3f3f,12,1407
4725c39a5e5f4c188d382da3910b3f3f,13,1640
4725c39a5e5f4c188d382da3910b3f3f,14,1722
4725c39a5e5f4c188d382da3910b3f3f,15,1565
4725c39a5e5f4c188d382da3910b3f3f,16,1516
4725c39a5e5f4c188d382da3910b3f3f,17,1928
4725c39a5e5f4c188d382da3910b3f3f,18,1736
4725c39a5e5f4c188d382da3910b3f3f,19,1752
4725c39a5e5f4c188d382da3910b3f3f,20,1771
4725c39a5e5f4c188d382da3910b3f3f,21,1699
4725c39a5e5f4c188d382da3910b3f3f,22,1494
4725c39a5e5f4c188d382da3910b3f3f,23,1035
49ac89aa860c27e26c0836cb8dab2df2,1,1
49ac89aa860c27e26c0836cb8dab2df2,3,1
49ac89aa860c27e26c0836cb8dab2df2,7,3
49ac89aa860c27e26c0836cb8dab2df2,8,8
49ac89aa860c27e26c0836cb8dab2df2,9,8
49ac89aa860c27e26c0836cb8dab2df2,10,14
49ac89aa860c27e26c0836cb8dab2df2,11,19
49ac89aa860c27e26c0836cb8dab2df2,12,17
49ac89aa860c27e26c0836cb8dab2df2,13,14
49ac89aa860c27e26c0836cb8dab2df2,14,9
49ac89aa860c27e26c0836cb8dab2df2,15,8
49ac89aa860c27e26c0836cb8dab2df2,16,17
49ac89aa860c27e26c0836cb8dab2df2,17,11
49ac89aa860c27e26c0836cb8dab2df2,18,7
49ac89aa860c27e26c0836cb8dab2df2,19,7
49ac89aa860c27e26c0836cb8dab2df2,20,5
49ac89aa860c27e26c0836cb8dab2df2,21,4
49ac89aa860c27e26c0836cb8dab2df2,22,5
49ac89aa860c27e26c0836cb8dab2df2,23,5
4b7f6f4e2bf237b6cc58f57142bea5c0,0,30
4b7f6f4e2bf237b6cc58f57142bea5c0,1,14
4b7f6f4e2bf237b6cc58f57142bea5c0,2,8
4b7f6f4e2bf237b6cc58f57142bea5c0,3,1
4b7f6f4e2bf237b6cc58f57142bea5c0,4,1
4b7f6f4e2bf237b6cc58f57142bea5c0,5,1
4b7f6f4e2bf237b6cc58f57142bea5c0,6,6
4b7f6f4e2bf237b6cc58f57142bea5c0,7,29
4b7f6f4e2bf237b6cc58f57142bea5c0,8,53
4b7f6f4e2bf237b6cc58f57142bea5c0,9,80
4b7f6f4e2bf237b6cc58f57142bea5c0,10,95
4b7f6f4e2bf237b6cc58f57142bea5c0,11,71
4b7f6f4e2bf237b6cc58f57142bea5c0,12,66
4b7f6f4e2bf237b6cc58f57142bea5c0,13,94
4b7f6f4e2bf237b6cc58f57142bea5c0,14,72
4b7f6f4e2bf237b6cc58f57142bea5c0,15,61
4b7f6f4e2bf237b6cc58f57142bea5c0,16,74
4b7f6f4e2bf237b6cc58f57142bea5c0,17,104
4b7f6f4e2bf237b6cc58f57142bea5c0,18,76
4b7f6f4e2bf237b6cc58f57142bea5c0,19,70
4b7f6f4e2bf237b6cc58f57142bea5c0,20,82
4b7f6f4e2bf237b6cc58f57142bea5c0,21,57
4b7f6f4e2bf237b6cc58f57142bea5c0,22,52
4b7f6f4e2bf237b6cc58f57142bea5c0,23,36
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,0,4
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,1,2
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,2,1
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,4,1
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,7,8
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,8,18
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,9,18
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,10,30
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,11,16
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,12,47
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,13,24
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,14,27
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,15,16
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,16,25
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,17,27
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,18,30
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,19,18
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,20,17
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,21,18
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,22,10
4b9e4cf2fbdc8281b8a1f9f12b80ce4d,23,4
4f4041f7db0c7f69892d9b74c1a7efa1,0,2
4f4041f7db0c7f69892d9b74c1a7efa1,1,1
4f4041f7db0c7f69892d9b74c1a7efa1,3,1
4f4041f7db0c7f69892d9b74c1a7efa1,7,3
4f4041f7db0c7f69892d9b74c1a7efa1,8,11
4f4041f7db0c7f69892d9b74c1a7efa1,9,18
4f4041f7db0c7f69892d9b74c1a7efa1,10,20
4f4041f7db0c7f69892d9b74c1a7efa1,11,29
4f4041f7db0c7f69892d9b74c1a7efa1,12,21
4f4041f7db0c7f69892d9b74c1a7efa1,13,42
4f4041f7db0c7f69892d9b74c1a7efa1,14,74
4f4041f7db0c7f69892d9b74c1a7efa1,15,58
4f4041f7db0c7f69892d9b74c1a7efa1,16,66
4f4041f7db0c7f69892d9b74c1a7efa1,17,91
4f4041f7db0c7f69892d9b74c1a7efa1,18,44
4f4041f7db0c7f69892d9b74c1a7efa1,19,39
4f4041f7db0c7f69892d9b74c1a7efa1,20,13
4f4041f7db0c7f69892d9b74c1a7efa1,21,19
4f4041f7db0c7f69892d9b74c1a7efa1,22,10
4f4041f7db0c7f69892d9b74c1a7efa1,23,6
4f8d81b5c31af5d1ba579a65ddc8a5cb,0,26
4f8d81b5c31af5d1ba579a65ddc8a5cb,1,21
4f8d81b5c31af5d1ba579a65ddc8a5cb,2,19
